gi_156564152_ref_YP_001429662.1_	virion structural protein
gi_156564155_ref_YP_001429665.1_	virion structural protein
gi_156564156_ref_YP_001429666.1_	virion structural protein
gi_156564180_ref_YP_001429690.1_	virion structural protein
gi_157168385_ref_YP_001456742.1_	gp12, major tail protein
gi_157265380_ref_YP_001467939.1_	portal protein
gi_157265381_ref_YP_001467940.1_	capsid scaffolding protein
gi_157265497_ref_YP_001468055.1_	portal protein
gi_157265498_ref_YP_001468056.1_	capsid scaffolding protein
gi_157310937_ref_YP_001468933.1_	putative minor capsid protein
gi_161617968_ref_YP_001595448.1_	major capsid protein
gi_167832347_ref_YP_001686738.1_	putative terminase large subunit
gi_167832357_ref_YP_001686748.1_	putative tail protein
gi_167832365_ref_YP_001686756.1_	major tail sheath protein
gi_167832366_ref_YP_001686757.1_	putative tail tube protein
gi_168983486_ref_YP_001687526.1_	tail protein
gi_169936021_ref_YP_001718720.1_	P2 gpT-like tail protein
gi_17426221_ref_NP_510888.1_	minor coat protein
gi_17426222_ref_NP_510889.1_	minor coat protein
gi_17426223_ref_NP_510890.1_	major coat protein
gi_17975746_ref_NP_536675.1_	A coat protein
gi_17975747_ref_NP_536674.1_	B coat protein
gi_182637486_ref_YP_001828657.1_	putative portal protein
gi_189490207_ref_YP_001956773.1_	virion structural protein
gi_189490208_ref_YP_001956774.1_	virion structural protein
gi_189490301_ref_YP_001956869.1_	virion structural protein
gi_189490302_ref_YP_001956870.1_	virion structural protein
gi_189490304_ref_YP_001956872.1_	virion structural protein
gi_189490309_ref_YP_001956877.1_	virion structural protein
gi_189490310_ref_YP_001956878.1_	virion structural protein
gi_189490314_ref_YP_001956882.1_	virion structural protein
gi_189490315_ref_YP_001956883.1_	virion structural protein
gi_189490349_ref_YP_001956917.1_	virion structural protein
gi_189490354_ref_YP_001956922.1_	virion structural protein
gi_189490355_ref_YP_001956923.1_	major capsid protein
gi_189490366_ref_YP_001956934.1_	virion structural protein
gi_189490367_ref_YP_001956935.1_	virion structural protein
gi_189490370_ref_YP_001956938.1_	virion structural protein
gi_189490381_ref_YP_001956949.1_	virion structural protein
gi_189490382_ref_YP_001956950.1_	virion structural protein
gi_189490383_ref_YP_001956951.1_	virion structural protein
gi_189490393_ref_YP_001956961.1_	virion structural protein
gi_189490400_ref_YP_001956969.1_	virion structural protein
